Source,Target,Type,Id,Label,timeset,Weight
103106,68430921,Undirected,168,,,1
1068947,306599749,Undirected,169,,,1
12524356,314577011,Undirected,170,,,1
1317304,12811765,Undirected,171,,,1
14016736,73500847,Undirected,172,,,1
142804855,3001054,Undirected,173,,,1
14764725,1741923,Undirected,174,,,1
167823044,73500847,Undirected,175,,,1
16965672,2513943,Undirected,176,,,1
17475639,34103180,Undirected,177,,,1
178022,6676300,Undirected,178,,,1
1878206,2642949,Undirected,179,,,1
20354656,3035721,Undirected,180,,,1
21885872,2513943,Undirected,181,,,1
219814,2487737,Undirected,182,,,1
2221562,7536121,Undirected,183,,,1
2513943,2130133,Undirected,184,,,1
26251367,446107194,Undirected,185,,,1
2684945,219814,Undirected,186,,,1
274618736,26472552,Undirected,187,,,1
2982457,8717541,Undirected,188,,,1
29898443,21828455,Undirected,189,,,1
3001054,1202688,Undirected,190,,,1
302568357,2513943,Undirected,191,,,1
306599749,2642949,Undirected,192,,,1
3162810,3340967,Undirected,193,,,1
326187495,7227057,Undirected,194,,,1
330642511,49277647,Undirected,195,,,1
337147379,1751725,Undirected,196,,,1
341212,87276,Undirected,197,,,1
345743256,738216007,Undirected,198,,,1
361271292,641008601,Undirected,199,,,1
36196496,446107194,Undirected,200,,,1
37516337,34103180,Undirected,201,,,1
385262452,326187495,Undirected,202,,,1
406968739,651547331,Undirected,203,,,1
426159226,446107194,Undirected,204,,,1
427482762,7175660,Undirected,205,,,1
428731050,25940690,Undirected,206,,,1
429285330,277936211,Undirected,207,,,1
434275666,206493321,Undirected,208,,,1
44425295,7374236,Undirected,209,,,1
466998438,501865238,Undirected,210,,,1
49277647,670074131,Undirected,211,,,1
5144074,52154351,Undirected,212,,,1
517639187,69246572,Undirected,213,,,1
517728809,510185483,Undirected,214,,,1
532480589,481557518,Undirected,215,,,1
53869226,3035721,Undirected,216,,,1
554507798,180693631,Undirected,217,,,1
555103478,12811765,Undirected,218,,,1
555516,189725431,Undirected,219,,,1
56911897,331955271,Undirected,220,,,1
589122533,406968739,Undirected,221,,,1
59092554,53869226,Undirected,222,,,1
607675682,480055750,Undirected,223,,,1
6184963,331955271,Undirected,224,,,1
6237542,103106,Undirected,225,,,1
624679016,352484,Undirected,226,,,1
635476424,29963851,Undirected,227,,,1
661296050,2642949,Undirected,228,,,1
6676300,156719080,Undirected,229,,,1
693407849,1633607,Undirected,230,,,1
695938805,274100,Undirected,231,,,1
704444120,14764725,Undirected,232,,,1
725013218,6136730,Undirected,233,,,1
735006122,274100,Undirected,234,,,1
745176580,438006214,Undirected,235,,,1
75121515,772340917,Undirected,236,,,1
7536121,2816709,Undirected,237,,,1
754626250,75208599,Undirected,238,,,1
7872598,87276,Undirected,239,,,1
8537526,9232006,Undirected,240,,,2
87276,20028021,Undirected,241,,,1
90071864,5148323,Undirected,242,,,1
9844424,3035721,Undirected,244,,,1
