Source,Target,Type,Weight
russia,syrian_government,Undirected,1
russia,syrian_opposition,Undirected,-1
russia,israel,Undirected,-1
russia,iraqi_government,Undirected,1
russia,iran,Undirected,1
russia,al-queda/jabhat_al-nusra,Undirected,-1
russia,islamic_state,Undirected,-1
syrian_government,syrian_opposition,Undirected,-1
syrian_government,syrian_kurds,Undirected,-1
syrian_government,turkey,Undirected,-1
syrian_government,united_states_&_european_union,Undirected,-1
syrian_government,israel,Undirected,-1
syrian_government,saudi_arabia_&_arab_league,Undirected,-1
syrian_government,iraqi_government,Undirected,1
syrian_government,iraqi_shia_militias,Undirected,1
syrian_government,iran,Undirected,1
syrian_government,al-queda/jabhat_al-nusra,Undirected,-1
syrian_government,islamic_state,Undirected,-1
syrian_opposition,turkey,Undirected,1
syrian_opposition,united_states_&_european_union,Undirected,1
syrian_opposition,saudi_arabia_&_arab_league,Undirected,1
syrian_opposition,iraqi_government,Undirected,-1
syrian_opposition,iraqi_shia_militias,Undirected,-1
syrian_opposition,iran,Undirected,-1
syrian_opposition,islamic_state,Undirected,-1
syrian_kurds,turkey,Undirected,-1
syrian_kurds,iraqi_kurds,Undirected,1
syrian_kurds,iran,Undirected,-1
syrian_kurds,al-queda/jabhat_al-nusra,Undirected,-1
syrian_kurds,islamic_state,Undirected,-1
turkey,united_states_&_european_union,Undirected,1
turkey,iraqi_kurds,Undirected,-1
turkey,iraqi_shia_militias,Undirected,-1
turkey,al-queda/jabhat_al-nusra,Undirected,-1
turkey,islamic_state,Undirected,-1
united_states_&_european_union,israel,Undirected,1
united_states_&_european_union,saudi_arabia_&_arab_league,Undirected,1
united_states_&_european_union,iraqi_government,Undirected,1
united_states_&_european_union,iraqi_kurds,Undirected,-1
united_states_&_european_union,iraqi_shia_militias,Undirected,-1
united_states_&_european_union,iran,Undirected,-1
united_states_&_european_union,al-queda/jabhat_al-nusra,Undirected,-1
united_states_&_european_union,islamic_state,Undirected,-1
israel,iraqi_kurds,Undirected,-1
israel,iraqi_shia_militias,Undirected,-1
israel,iran,Undirected,-1
israel,al-queda/jabhat_al-nusra,Undirected,-1
israel,islamic_state,Undirected,1
saudi_arabia_&_arab_league,iraqi_kurds,Undirected,-1
saudi_arabia_&_arab_league,iraqi_shia_militias,Undirected,-1
saudi_arabia_&_arab_league,iran,Undirected,-1
saudi_arabia_&_arab_league,al-queda/jabhat_al-nusra,Undirected,-1
saudi_arabia_&_arab_league,islamic_state,Undirected,-1
iraqi_government,iraqi_shia_militias,Undirected,1
iraqi_government,iran,Undirected,1
iraqi_government,al-queda/jabhat_al-nusra,Undirected,-1
iraqi_government,islamic_state,Undirected,-1
iraqi_kurds,al-queda/jabhat_al-nusra,Undirected,-1
iraqi_kurds,islamic_state,Undirected,-1
iraqi_shia_militias,iran,Undirected,1
iraqi_shia_militias,al-queda/jabhat_al-nusra,Undirected,-1
iraqi_shia_militias,islamic_state,Undirected,-1
iran,al-queda/jabhat_al-nusra,Undirected,-1
iran,islamic_state,Undirected,-1
al-queda/jabhat_al-nusra,islamic_state,Undirected,1
